From Date,RH
04-03-2019 00:00,79.97
05-03-2019 00:00,71.89
06-03-2019 00:00,68.52
07-03-2019 00:00,66.79
08-03-2019 00:00,62.79
09-03-2019 00:00,54.07
10-03-2019 00:00,51.91
11-03-2019 00:00,58.04
12-03-2019 00:00,52.99
13-03-2019 00:00,61.65
14-03-2019 00:00,74.18
15-03-2019 00:00,63.82
16-03-2019 00:00,52.62
17-03-2019 00:00,54.4
18-03-2019 00:00,62.7
19-03-2019 00:00,58.73
20-03-2019 00:00,50.56
21-03-2019 00:00,52.61
22-03-2019 00:00,37.96
23-03-2019 00:00,40.63
24-03-2019 00:00,45.6
25-03-2019 00:00,53.92
26-03-2019 00:00,49.36
27-03-2019 00:00,51.16
28-03-2019 00:00,56
29-03-2019 00:00,58.02
30-03-2019 00:00,54.6
31-03-2019 00:00,38.44
01-04-2019 00:00,34.09
02-04-2019 00:00,43.08
03-04-2019 00:00,43.55
04-04-2019 00:00,47.44
05-04-2019 00:00,46.8
06-04-2019 00:00,40.95
07-04-2019 00:00,59.8
08-04-2019 00:00,52.96
09-04-2019 00:00,50.84
10-04-2019 00:00,41.51
11-04-2019 00:00,35.19
12-04-2019 00:00,37.26
13-04-2019 00:00,33.28
14-04-2019 00:00,31.26
15-04-2019 00:00,30.11
16-04-2019 00:00,56.84
17-04-2019 00:00,64.94
18-04-2019 00:00,54.25
19-04-2019 00:00,44.51
20-04-2019 00:00,42.73
21-04-2019 00:00,41.54
22-04-2019 00:00,41.86
23-04-2019 00:00,39.98
24-04-2019 00:00,35.83
25-04-2019 00:00,40.94
26-04-2019 00:00,30.29
27-04-2019 00:00,20.34
28-04-2019 00:00,17.64
29-04-2019 00:00,20.79
30-04-2019 00:00,20.75
01-05-2019 00:00,28.35
02-05-2019 00:00,31.39
03-05-2019 00:00,37.41
04-05-2019 00:00,34.94
05-05-2019 00:00,19.41
06-05-2019 00:00,24.65
07-05-2019 00:00,26.83
08-05-2019 00:00,25.8
09-05-2019 00:00,22.99
10-05-2019 00:00,19.4
11-05-2019 00:00,28.48
12-05-2019 00:00,30.6
13-05-2019 00:00,38.86
14-05-2019 00:00,46.17
15-05-2019 00:00,61.06
16-05-2019 00:00,49.11
17-05-2019 00:00,58.52
18-05-2019 00:00,58.97
19-05-2019 00:00,41.53
20-05-2019 00:00,38.29
21-05-2019 00:00,34.9
22-05-2019 00:00,38.85
