,param_C,param_epsilon,param_gamma,param_kernel,params,mean_train_score,mean_test_score,keep
96,100,0.1,0.1,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.12703814889916912,-0.514643724388086,1
97,100,0.1,0.1,poly,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",-0.4436936131339628,-14.297466721095892,0
98,100,0.1,0.1,sigmoid,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-6089377.19466071,-1135326.1035932836,0
99,100,1,0.001,rbf,"{'C': 100, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.32031549356530215,-0.5070106632838863,1
100,100,1,0.001,poly,"{'C': 100, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'poly'}",-1.0585170616148143,-1.0821845316283472,1
101,100,1,0.001,sigmoid,"{'C': 100, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.39806995500518694,-0.6001170445284674,1
102,100,1,0.01,rbf,"{'C': 100, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.2566700585822309,-0.4707914764081721,1
103,100,1,0.01,poly,"{'C': 100, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'poly'}",-0.6994581224293559,-0.9888104463376253,1
104,100,1,0.01,sigmoid,"{'C': 100, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-907.8547317960998,-63.04297080499047,0
105,100,1,0.1,rbf,"{'C': 100, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.34392045567394247,-0.7224559265676158,1
106,100,1,0.1,poly,"{'C': 100, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'poly'}",-0.5363948902609834,-16.84837882595417,0
107,100,1,0.1,sigmoid,"{'C': 100, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-6075887.873328326,-1399166.1191826463,0
