,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
85,15,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 15}",-0.39650816873447214,-0.5130343266364196,0
86,20,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 20}",-0.3957192403386426,-0.5084638253549116,0
87,50,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 50}",-0.386350477671526,-0.49762282960448934,0
88,1,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 1}",-0.46194349706980314,-0.5923304345150051,0
89,3,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 3}",-0.36588383733646274,-0.5313229729349883,0
90,5,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 5}",-0.3410865223803547,-0.5199266124165833,0
91,7,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 7}",-0.34143497438877246,-0.5069895525270525,0
92,10,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 10}",-0.33734029671317395,-0.5211306355325783,0
93,15,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 15}",-0.33178208969290923,-0.48768938678416013,0
94,20,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 20}",-0.3311995630362759,-0.4974413093494081,0
95,50,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 50}",-0.3255230986953869,-0.4871758950344841,0
96,1,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 1}",-0.46541095116550635,-0.627414655036538,0
97,3,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 3}",-0.36956406274033604,-0.5367379945517484,0
98,5,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 5}",-0.3459988212569295,-0.5177428782250019,0
99,7,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 7}",-0.3357451930701904,-0.49402240143892484,0
100,10,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 10}",-0.3369100265961956,-0.4891859767223294,0
101,15,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 15}",-0.32882919728762444,-0.49548038153278445,0
102,20,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 20}",-0.33024921880483404,-0.5084655057809438,0
103,50,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 50}",-0.32553606025056436,-0.4940016275954071,0
104,1,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 1}",-0.46698737667689566,-0.6476814031241396,0
105,3,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 3}",-0.3663016995650952,-0.5362098325513057,0
106,5,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 5}",-0.34940228184031563,-0.5197530764492214,0
107,7,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 7}",-0.33995143043943205,-0.5038719853635842,0
108,10,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 10}",-0.33495441169288387,-0.5137474966162962,0
109,15,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 15}",-0.3252331561084693,-0.5112192121348491,0
110,20,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 20}",-0.3290814322854888,-0.5057568845785121,0
111,50,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 50}",-0.32573063851999334,-0.4873034125697635,0
112,1,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 1}",-0.4751852168728556,-0.6230765879325414,0
113,3,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 3}",-0.36283922522086065,-0.5649252291268992,0
114,5,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 5}",-0.3516126549076969,-0.5666571115148644,0
115,7,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 7}",-0.34375049264045554,-0.5265265866348173,0
116,10,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 10}",-0.3352317847874583,-0.5103097059093635,0
117,15,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 15}",-0.33010780302895965,-0.48262495334040345,0
118,20,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 20}",-0.33267302639314805,-0.49367116723300375,0
119,50,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 50}",-0.3233733435364849,-0.49240451629395016,0
120,1,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 1}",-0.4677952254406629,-0.6215346260752392,0
121,3,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 3}",-0.32575686507000506,-0.5449813790435248,0
122,5,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 5}",-0.3045831136971241,-0.5175034578706068,0
123,7,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 7}",-0.2831727082301301,-0.522911940634718,0
124,10,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 10}",-0.27553935246847017,-0.5057222449990573,0
125,15,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 15}",-0.2755021610094423,-0.4678274934091874,0
126,20,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 20}",-0.2753448798040413,-0.48979305283467534,0
127,50,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 50}",-0.26326016639326444,-0.4775274515293727,0
128,1,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 1}",-0.38507463581948637,-0.7766169704598561,0
129,3,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 3}",-0.25747537437945167,-0.5766038124525205,0
130,5,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 5}",-0.22843369843270184,-0.5475560791937126,0
131,7,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 7}",-0.22193365328963438,-0.5082025227464649,0
132,10,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 10}",-0.2092921883301722,-0.5003215227500297,0
133,15,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 15}",-0.20270093578261994,-0.515325924711819,0
134,20,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 20}",-0.201926014697414,-0.4775083359154224,0
135,50,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 50}",-0.19061928102792486,-0.4891239292691215,0
136,1,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 1}",-0.4243751230453561,-0.7868446206139192,0
137,3,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 3}",-0.25918084276298764,-0.6037523761816186,0
138,5,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 5}",-0.2306720744097702,-0.5220257139247497,0
139,7,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 7}",-0.21814158752806617,-0.5143718617576108,0
140,10,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 10}",-0.21122985558521337,-0.48889622265888955,0
141,15,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 15}",-0.20172003622843054,-0.48912230168305293,0
142,20,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 20}",-0.20123806655327617,-0.49753823514145407,0
143,50,10,7,"{'max_depth': 7, 'max_features': 10, 'n_estimators': 50}",-0.19571871479365752,-0.48529490845602447,0
144,1,15,7,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 1}",-0.3895087326755821,-0.7657888483238394,0
145,3,15,7,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 3}",-0.2566521985277207,-0.5798382777800282,0
146,5,15,7,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 5}",-0.22870843879059607,-0.554119408836325,0
147,7,15,7,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 7}",-0.22107274030289967,-0.48933059246096766,0
148,10,15,7,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 10}",-0.21249915613358752,-0.5048599861552432,0
149,15,15,7,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 15}",-0.20095855726067557,-0.48018074309920966,0
150,20,15,7,"{'max_depth': 7, 'max_features': 15, 'n_estimators': 20}",-0.2045621247230062,-0.4877310406376168,0
