,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
180,300,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 300}",-0.25706036990906483,-0.347263456104115,0
181,500,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 500}",-0.2567875088549936,-0.3451924198187116,0
182,800,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 800}",-0.25672052268776613,-0.3440781007170392,0
183,1000,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 1000}",-0.256936238338794,-0.3445937441034638,0
184,1,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 1}",-0.3618309778358214,-0.4665558687580444,0
185,10,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 10}",-0.26624744237391995,-0.35326334377953034,0
186,15,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 15}",-0.26284143796842613,-0.35156237868259466,0
187,150,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 150}",-0.25658845111583356,-0.34375746405731744,0
188,300,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 300}",-0.2570192923890342,-0.3440495439446706,0
189,500,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 500}",-0.25706031810822294,-0.34582618928196807,0
190,800,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 800}",-0.2568574286853228,-0.34459432049115246,0
191,1000,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 1000}",-0.25735458803789607,-0.3444712572034815,0
192,1,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 1}",-0.3509769209661537,-0.4523569578465471,0
193,10,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 10}",-0.26384218517950264,-0.36605327006441485,0
194,15,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 15}",-0.2622689394301233,-0.34824331475863474,0
195,150,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 150}",-0.2570830066026869,-0.3449121103709392,0
196,300,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 300}",-0.257094050219992,-0.3459258358780587,0
197,500,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 500}",-0.2570672786304634,-0.3456212612743061,0
198,800,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 800}",-0.25709377575968206,-0.345126986724463,0
199,1000,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 1000}",-0.25662985928510945,-0.34509874285629105,0
200,1,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 1}",-0.35347325611388786,-0.4487049747337918,0
201,10,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 10}",-0.2661625364925858,-0.3546393806263139,0
202,15,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 15}",-0.26205447914200186,-0.35874530395916376,0
203,150,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 150}",-0.25697158719805874,-0.34476146115349116,0
204,300,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 300}",-0.2570181933089466,-0.34569950383623715,0
205,500,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 500}",-0.25670549811375354,-0.34650413157895155,0
206,800,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 800}",-0.2569207945580147,-0.3445826550111542,0
207,1000,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 1000}",-0.25697212426656824,-0.3456569864887361,0
208,1,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 1}",-0.35408817398531334,-0.4805655103028836,0
209,10,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 10}",-0.2626089558290484,-0.3467758319617861,0
210,15,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 15}",-0.263529274323486,-0.3555347583964585,0
211,150,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 150}",-0.25793194393732777,-0.3458559120377319,0
212,300,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 300}",-0.25729854493806137,-0.3475639675128224,0
213,500,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 500}",-0.25697772331845403,-0.3459734022441855,0
214,800,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 800}",-0.2572893190937892,-0.3453729150122512,0
215,1000,25,5,"{'max_depth': 5, 'max_features': 25, 'n_estimators': 1000}",-0.257012012117069,-0.3462823894583414,0
216,1,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 1}",-0.35779538491708224,-0.4661411630391964,0
217,10,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 10}",-0.26262463555898113,-0.34931258604296156,0
218,15,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 15}",-0.2647603172963287,-0.36106315769197594,0
219,150,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 150}",-0.25699577939391943,-0.34680009420964947,0
220,300,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 300}",-0.2572415375124154,-0.3441887315406495,0
221,500,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 500}",-0.25682054892347483,-0.34495481168214703,0
222,800,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 800}",-0.25652935997120174,-0.345801428098501,0
223,1000,30,5,"{'max_depth': 5, 'max_features': 30, 'n_estimators': 1000}",-0.2567035511687031,-0.34485500426027094,0
224,1,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 1}",-0.3646195033988143,-0.5769865446216509,0
225,10,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 10}",-0.21414270131261276,-0.34920441830218774,0
226,15,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 15}",-0.20960314496146695,-0.3490162881339531,0
227,150,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 150}",-0.1996458581058666,-0.3327998979294886,0
228,300,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 300}",-0.19962659971405822,-0.330564609503309,0
229,500,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 500}",-0.19889930024698788,-0.3296776853446386,0
230,800,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 800}",-0.19845665476216484,-0.33052516093569917,0
231,1000,1,7,"{'max_depth': 7, 'max_features': 1, 'n_estimators': 1000}",-0.1987602898130186,-0.33154252677594814,0
232,1,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 1}",-0.2944825872115603,-0.4762473686434509,0
233,10,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 10}",-0.17904031434645828,-0.33959938968300574,0
234,15,5,7,"{'max_depth': 7, 'max_features': 5, 'n_estimators': 15}",-0.17662727671651077,-0.321332568418342,0
